"Language","original","english",polish,"german","russian","hungarian","italian","spanish","french","portuguese","chinese","Japanese",
"str_bf_opencurtain","Open Curtain","Open Curtain",Otwarta zasłona,"Vorhang offen","Открытая штора","Nyissa ki a fuggonyt","Tenda aperta","Cortina aberta","Rideau ouvert","Cortina aberta","开启窗帘","開いたカーテン",
"str_bf_closedcurtain","Closed Curtain","Closed Curtain",Zamknięta zasłona,"Vorhang geschlossen","Закрытая штора","Zarja be a fuggonyt","Tenda chiusa","Cortina cerrada","Rideau fermé","Cortina aberta","关闭窗帘","閉じたカーテン",
"str_bf_crossboard","Cross Board","Cross Board",Zakładnica,"Tür Abriegelung","Засов","Cross board","Asse di incrocio","Tablon de cierre","Planche de barricade","Tábua de encerramento","交叉板","クロスした板",
"str_bf_windowbarricade","Window Barricade","Window Barricade",Barykada okienna,"Fenster Barrikade","Баррикада для окна","Ablak barikad","Finestra blindata","Barricada de Ventana","Barricade de fenêtre","	Barricada de janelas","窗户防御","窓バリケード",
"str_bf_bfswafh","Barricade for securing windows and fortifying houses","Barricade for securing windows and fortifying houses",Barykada do zabezpieczania okien i wzmacniania domów,"Barrikade um Fenster und Häuser zu sichern","Баррикада для защиты окон и укрепления домов","Barikad az ablakok vadelmare as a hazak megerositesere","Blindatura per finestre di sicurezza e casa fortificata","Barricada para asegurar y fortificar ventanas","Barricade pour sécuriser les fenêtres et fortifier les maisons","Barricada para cobrir janelas e fortificar estruturas","用于固定窗户和加固房屋的防御性建筑","窓を補強し家を要塞化するバリケード",
"str_bf_curtainmount","Curtain Mount","Curtain Mount",Uchwyt na zasłonę,"Vorhang Halter","Крепление для штор","Fuggoyn Tarto","Montaggio della tenda","Montura de cortina","Support de rideau","Montagem em cortina","窗帘","カーテンマウント",
"str_bf_barricadebase","Barricade Base","Barricade Base",Podstawa barykady,"Barrikaden Basis","Основа баррикады","Barikad Bazis","Blindatura basica","Base de Barricada","Fondation des barricades","Alicerce","建筑地基","バリケードの土台",
"str_bf_boardupwindow","Board up window","Board up window",Zabij okno deskami,"Fenster barrikadieren","Заколотить окно","Ablak Blokkolasa","Sigilla la finestra","Barricada simple","Barricader la fenêtre","Barricada simples","用木板封住窗户","板で窓を塞ぐ",
"str_bf_addmoreboards","Add More Boards","Add More Boards",Dodaj więcej desek,"Mehr Bretter hinzufügen","Добавить досок","Tablak Hozzaadasa","Aggiungi più assi","Barricada fortificada","Ajouter plus de planches","Barricada reforçada","添加更多木板","板を追加する",
"str_bf_windowbarricadekit","Window Barricade Kit","Window Barricade Kit",Zestaw do barykady okiennej,"Fenster Barrikaden Bausatz","Комплект для баррикадирования окон","Ablak barikad doboz","	Kit per finestra blindata","Kit de barricada de Ventanas","Kit de barricade de fenêtre","Kit de barricada de janela","窗户防御套件","窓バリケードキット",
